KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
us	0.020	0.100	0.040	0.611
us	0.020	0.100	0.060	0.554
us	0.020	0.100	0.080	0.611
us	0.020	0.100	0.100	0.554
us	0.040	0.020	0.020	9.925
us	0.040	0.020	0.040	9.925
us	0.040	0.020	0.060	10.514
us	0.040	0.020	0.080	10.186
us	0.040	0.020	0.100	9.702
us	0.040	0.040	0.020	17.745
us	0.040	0.040	0.040	8.605
us	0.040	0.040	0.060	8.598
us	0.040	0.040	0.080	8.240
us	0.040	0.040	0.100	7.914
us	0.040	0.060	0.020	17.745
us	0.040	0.060	0.040	8.963
us	0.040	0.060	0.060	8.963
us	0.040	0.060	0.080	9.369
us	0.040	0.060	0.100	8.509
us	0.040	0.080	0.020	12.240
us	0.040	0.080	0.040	11.810
us	0.040	0.080	0.060	11.810
us	0.040	0.080	0.080	11.794
us	0.040	0.080	0.100	11.810
us	0.040	0.100	0.020	17.745
us	0.040	0.100	0.040	17.745
us	0.040	0.100	0.060	5.800
us	0.040	0.100	0.080	5.800
us	0.040	0.100	0.100	5.551
us	0.060	0.020	0.020	19.208
us	0.060	0.020	0.040	19.208
us	0.060	0.020	0.060	19.208
us	0.060	0.020	0.080	19.208
us	0.060	0.020	0.100	19.208
us	0.060	0.040	0.020	19.208
us	0.060	0.040	0.040	19.208
us	0.060	0.040	0.060	19.208
us	0.060	0.040	0.080	19.208
us	0.060	0.040	0.100	19.208
us	0.060	0.060	0.020	19.208
us	0.060	0.060	0.040	19.208
us	0.060	0.060	0.060	19.208
us	0.060	0.060	0.080	19.208
us	0.060	0.060	0.100	19.208
us	0.060	0.080	0.020	19.208
us	0.060	0.080	0.040	19.208
us	0.060	0.080	0.060	19.208
us	0.060	0.080	0.080	14.020
us	0.060	0.080	0.100	14.106
us	0.060	0.100	0.020	19.208
us	0.060	0.100	0.040	19.208
us	0.060	0.100	0.060	19.208
us	0.060	0.100	0.080	19.208
us	0.060	0.100	0.100	12.390
us	0.080	0.020	0.020	17.373
us	0.080	0.020	0.040	17.373
us	0.080	0.020	0.060	17.373
us	0.080	0.020	0.080	17.373
us	0.080	0.020	0.100	17.373
us	0.080	0.040	0.020	17.373
us	0.080	0.040	0.040	6.884
us	0.080	0.040	0.060	6.487
us	0.080	0.040	0.080	6.487
us	0.080	0.040	0.100	5.342
us	0.080	0.060	0.020	17.373
us	0.080	0.060	0.040	17.373
us	0.080	0.060	0.060	17.373
us	0.080	0.060	0.080	17.373
us	0.080	0.060	0.100	17.373
us	0.080	0.080	0.020	17.373
us	0.080	0.080	0.040	17.373
us	0.080	0.080	0.060	17.373
us	0.080	0.080	0.080	7.105
us	0.080	0.080	0.100	7.105
us	0.080	0.100	0.020	17.373
us	0.080	0.100	0.040	5.514
us	0.080	0.100	0.060	5.514
us	0.080	0.100	0.080	5.514
us	0.080	0.100	0.100	1.216
us	0.100	0.020	0.020	22.112
us	0.100	0.020	0.040	22.112
us	0.100	0.020	0.060	22.112
us	0.100	0.020	0.080	22.112
us	0.100	0.020	0.100	22.112
us	0.100	0.040	0.020	22.112
us	0.100	0.040	0.040	7.018
us	0.100	0.040	0.060	6.548
us	0.100	0.040	0.080	6.548
us	0.100	0.040	0.100	6.548
us	0.100	0.060	0.020	22.112
us	0.100	0.060	0.040	22.112
us	0.100	0.060	0.060	22.112
us	0.100	0.060	0.080	22.112
us	0.100	0.060	0.100	22.112
us	0.100	0.080	0.020	22.112
us	0.100	0.080	0.040	22.112
us	0.100	0.080	0.060	22.112
us	0.100	0.080	0.080	22.112
us	0.100	0.080	0.100	22.112
us	0.100	0.100	0.020	22.112
us	0.100	0.100	0.040	22.112
us	0.100	0.100	0.060	22.112
us	0.100	0.100	0.080	22.112
us	0.100	0.100	0.100	22.112
susan	0.020	0.020	0.020	0.117
susan	0.020	0.020	0.040	0.117
susan	0.020	0.020	0.060	0.117
susan	0.020	0.020	0.080	0.118
susan	0.020	0.020	0.100	0.117
susan	0.020	0.040	0.020	0.117
susan	0.020	0.040	0.040	0.117
susan	0.020	0.040	0.060	0.117
susan	0.020	0.040	0.080	0.449
susan	0.020	0.040	0.100	0.117
susan	0.020	0.060	0.020	0.441
susan	0.020	0.060	0.040	0.354
susan	0.020	0.060	0.060	0.463
susan	0.020	0.060	0.080	0.463
susan	0.020	0.060	0.100	0.463
susan	0.020	0.080	0.020	0.377
susan	0.020	0.080	0.040	0.378
susan	0.020	0.080	0.060	0.378
susan	0.020	0.080	0.080	0.378
susan	0.020	0.080	0.100	0.378
susan	0.020	0.100	0.020	0.118
susan	0.020	0.100	0.040	0.391
susan	0.020	0.100	0.060	0.117
susan	0.020	0.100	0.080	0.117
susan	0.020	0.100	0.100	0.550
susan	0.040	0.020	0.020	0.117
susan	0.040	0.020	0.040	0.117
susan	0.040	0.020	0.060	0.117
susan	0.040	0.020	0.080	0.118
susan	0.040	0.020	0.100	0.117
susan	0.040	0.040	0.020	0.117
susan	0.040	0.040	0.040	0.117
susan	0.040	0.040	0.060	0.376
susan	0.040	0.040	0.080	0.376
susan	0.040	0.040	0.100	0.376
susan	0.040	0.060	0.020	0.441
susan	0.040	0.060	0.040	0.354
susan	0.040	0.060	0.060	0.463
susan	0.040	0.060	0.080	0.463
susan	0.040	0.060	0.100	0.463
