KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
us	0.020	0.100	0.040	0.047
us	0.020	0.100	0.060	0.047
us	0.020	0.100	0.080	0.047
us	0.020	0.100	0.100	0.047
us	0.040	0.020	0.020	0.376
us	0.040	0.020	0.040	0.505
us	0.040	0.020	0.060	0.104
us	0.040	0.020	0.080	0.542
us	0.040	0.020	0.100	0.542
us	0.040	0.040	0.020	0.251
us	0.040	0.040	0.040	0.252
us	0.040	0.040	0.060	0.104
us	0.040	0.040	0.080	0.346
us	0.040	0.040	0.100	0.104
us	0.040	0.060	0.020	0.466
us	0.040	0.060	0.040	0.466
us	0.040	0.060	0.060	0.538
us	0.040	0.060	0.080	0.397
us	0.040	0.060	0.100	0.334
us	0.040	0.080	0.020	4.892
us	0.040	0.080	0.040	0.104
us	0.040	0.080	0.060	0.104
us	0.040	0.080	0.080	0.104
us	0.040	0.080	0.100	0.220
us	0.040	0.100	0.020	0.339
us	0.040	0.100	0.040	0.104
us	0.040	0.100	0.060	0.104
us	0.040	0.100	0.080	0.104
us	0.040	0.100	0.100	0.311
us	0.060	0.020	0.020	0.201
us	0.060	0.020	0.040	0.201
us	0.060	0.020	0.060	0.430
us	0.060	0.020	0.080	0.430
us	0.060	0.020	0.100	0.430
us	0.060	0.040	0.020	4.932
us	0.060	0.040	0.040	4.932
us	0.060	0.040	0.060	8.233
us	0.060	0.040	0.080	6.698
us	0.060	0.040	0.100	8.131
us	0.060	0.060	0.020	4.932
us	0.060	0.060	0.040	4.932
us	0.060	0.060	0.060	0.342
us	0.060	0.060	0.080	0.342
us	0.060	0.060	0.100	4.825
us	0.060	0.080	0.020	4.932
us	0.060	0.080	0.040	4.773
us	0.060	0.080	0.060	4.773
us	0.060	0.080	0.080	6.585
us	0.060	0.080	0.100	6.585
us	0.060	0.100	0.020	0.402
us	0.060	0.100	0.040	0.140
us	0.060	0.100	0.060	0.140
us	0.060	0.100	0.080	0.140
us	0.060	0.100	0.100	0.140
us	0.080	0.020	0.020	4.677
us	0.080	0.020	0.040	4.677
us	0.080	0.020	0.060	4.677
us	0.080	0.020	0.080	4.677
us	0.080	0.020	0.100	0.191
us	0.080	0.040	0.020	4.677
us	0.080	0.040	0.040	0.232
us	0.080	0.040	0.060	0.317
us	0.080	0.040	0.080	0.581
us	0.080	0.040	0.100	0.581
us	0.080	0.060	0.020	4.677
us	0.080	0.060	0.040	0.191
us	0.080	0.060	0.060	0.191
us	0.080	0.060	0.080	0.191
us	0.080	0.060	0.100	0.191
us	0.080	0.080	0.020	4.677
us	0.080	0.080	0.040	0.191
us	0.080	0.080	0.060	4.806
us	0.080	0.080	0.080	4.806
us	0.080	0.080	0.100	4.806
us	0.080	0.100	0.020	4.677
us	0.080	0.100	0.040	4.677
us	0.080	0.100	0.060	4.677
us	0.080	0.100	0.080	4.719
us	0.080	0.100	0.100	4.719
us	0.100	0.020	0.020	5.418
us	0.100	0.020	0.040	5.418
us	0.100	0.020	0.060	5.418
us	0.100	0.020	0.080	5.418
us	0.100	0.020	0.100	5.418
us	0.100	0.040	0.020	5.418
us	0.100	0.040	0.040	5.418
us	0.100	0.040	0.060	5.418
us	0.100	0.040	0.080	5.418
us	0.100	0.040	0.100	5.418
us	0.100	0.060	0.020	5.418
us	0.100	0.060	0.040	5.418
us	0.100	0.060	0.060	5.418
us	0.100	0.060	0.080	0.482
us	0.100	0.060	0.100	0.482
us	0.100	0.080	0.020	5.418
us	0.100	0.080	0.040	5.418
us	0.100	0.080	0.060	6.405
us	0.100	0.080	0.080	6.405
us	0.100	0.080	0.100	6.405
us	0.100	0.100	0.020	5.418
us	0.100	0.100	0.040	5.418
us	0.100	0.100	0.060	5.418
us	0.100	0.100	0.080	3.539
us	0.100	0.100	0.100	3.539
susan	0.020	0.020	0.020	0.037
susan	0.020	0.020	0.040	0.037
susan	0.020	0.020	0.060	0.037
susan	0.020	0.020	0.080	0.037
susan	0.020	0.020	0.100	0.037
susan	0.020	0.040	0.020	0.037
susan	0.020	0.040	0.040	0.037
susan	0.020	0.040	0.060	0.037
susan	0.020	0.040	0.080	0.037
susan	0.020	0.040	0.100	0.037
susan	0.020	0.060	0.020	0.037
susan	0.020	0.060	0.040	0.037
susan	0.020	0.060	0.060	0.037
susan	0.020	0.060	0.080	0.037
susan	0.020	0.060	0.100	0.037
susan	0.020	0.080	0.020	0.037
susan	0.020	0.080	0.040	0.037
susan	0.020	0.080	0.060	0.037
susan	0.020	0.080	0.080	0.037
susan	0.020	0.080	0.100	0.037
susan	0.020	0.100	0.020	0.037
susan	0.020	0.100	0.040	0.037
susan	0.020	0.100	0.060	0.037
susan	0.020	0.100	0.080	0.037
susan	0.020	0.100	0.100	0.037
susan	0.040	0.020	0.020	0.037
susan	0.040	0.020	0.040	0.037
susan	0.040	0.020	0.060	0.037
susan	0.040	0.020	0.080	0.037
susan	0.040	0.020	0.100	0.037
susan	0.040	0.040	0.020	0.037
susan	0.040	0.040	0.040	0.037
susan	0.040	0.040	0.060	0.037
susan	0.040	0.040	0.080	0.037
susan	0.040	0.040	0.100	0.037
susan	0.040	0.060	0.020	0.037
susan	0.040	0.060	0.040	0.037
susan	0.040	0.060	0.060	0.037
susan	0.040	0.060	0.080	0.037
susan	0.040	0.060	0.100	0.037
susan	0.040	0.080	0.020	0.037
susan	0.040	0.080	0.040	0.037
susan	0.040	0.080	0.060	0.037
susan	0.040	0.080	0.080	0.037
susan	0.040	0.080	0.100	0.037
susan	0.040	0.100	0.020	0.037
susan	0.040	0.100	0.040	0.037
susan	0.040	0.100	0.060	0.037
susan	0.040	0.100	0.080	0.037
susan	0.040	0.100	0.100	0.037
susan	0.060	0.020	0.020	0.037
susan	0.060	0.020	0.040	0.037
susan	0.060	0.020	0.060	0.037
susan	0.060	0.020	0.080	0.037
susan	0.060	0.020	0.100	0.037
susan	0.060	0.040	0.020	0.037
susan	0.060	0.040	0.040	0.037
susan	0.060	0.040	0.060	0.037
susan	0.060	0.040	0.080	0.037
susan	0.060	0.040	0.100	0.037
susan	0.060	0.060	0.020	0.037
susan	0.060	0.060	0.040	0.037
susan	0.060	0.060	0.060	0.037
susan	0.060	0.060	0.080	0.037
susan	0.060	0.060	0.100	0.037
susan	0.060	0.080	0.020	0.037
susan	0.060	0.080	0.040	0.037
susan	0.060	0.080	0.060	0.037
susan	0.060	0.080	0.080	0.037
susan	0.060	0.080	0.100	0.037
susan	0.060	0.100	0.020	0.037
susan	0.060	0.100	0.040	0.037
susan	0.060	0.100	0.060	0.037
susan	0.060	0.100	0.080	0.037
susan	0.060	0.100	0.100	0.037
susan	0.080	0.020	0.020	0.037
susan	0.080	0.020	0.040	0.037
susan	0.080	0.020	0.060	0.037
susan	0.080	0.020	0.080	0.037
susan	0.080	0.020	0.100	0.037
susan	0.080	0.040	0.020	0.037
susan	0.080	0.040	0.040	0.037
susan	0.080	0.040	0.060	0.037
susan	0.080	0.040	0.080	0.037
susan	0.080	0.040	0.100	0.037
susan	0.080	0.060	0.020	0.037
susan	0.080	0.060	0.040	0.037
susan	0.080	0.060	0.060	0.037
susan	0.080	0.060	0.080	0.037
susan	0.080	0.060	0.100	0.037
susan	0.080	0.080	0.020	0.037
susan	0.080	0.080	0.040	0.037
susan	0.080	0.080	0.060	0.037
susan	0.080	0.080	0.080	0.037
susan	0.080	0.080	0.100	0.037
susan	0.080	0.100	0.020	0.037
susan	0.080	0.100	0.040	0.037
susan	0.080	0.100	0.060	0.037
susan	0.080	0.100	0.080	0.037
susan	0.080	0.100	0.100	0.037
susan	0.100	0.020	0.020	0.037
susan	0.100	0.020	0.040	0.037
susan	0.100	0.020	0.060	0.037
susan	0.100	0.020	0.080	0.037
susan	0.100	0.020	0.100	0.037
susan	0.100	0.040	0.020	0.037
susan	0.100	0.040	0.040	0.037
susan	0.100	0.040	0.060	0.037
susan	0.100	0.040	0.080	0.037
susan	0.100	0.040	0.100	0.037
susan	0.100	0.060	0.020	0.037
susan	0.100	0.060	0.040	0.037
susan	0.100	0.060	0.060	0.037
susan	0.100	0.060	0.080	0.037
susan	0.100	0.060	0.100	0.037
susan	0.100	0.080	0.020	0.037
susan	0.100	0.080	0.040	0.037
susan	0.100	0.080	0.060	0.037
susan	0.100	0.080	0.080	0.037
susan	0.100	0.080	0.100	0.037
susan	0.100	0.100	0.020	0.037
susan	0.100	0.100	0.040	0.037
susan	0.100	0.100	0.060	0.037
susan	0.100	0.100	0.080	0.037
susan	0.100	0.100	0.100	0.037
harris3D	0.020	0.020	0.020	0.023
harris3D	0.020	0.020	0.040	0.023
harris3D	0.020	0.020	0.060	0.023
harris3D	0.020	0.020	0.080	0.023
harris3D	0.020	0.020	0.100	0.023
harris3D	0.020	0.040	0.020	0.023
harris3D	0.020	0.040	0.040	0.023
harris3D	0.020	0.040	0.060	0.023
harris3D	0.020	0.040	0.080	0.023
harris3D	0.020	0.040	0.100	0.023
harris3D	0.020	0.060	0.020	0.023
harris3D	0.020	0.060	0.040	0.023
harris3D	0.020	0.060	0.060	0.023
harris3D	0.020	0.060	0.080	0.023
harris3D	0.020	0.060	0.100	0.023
harris3D	0.020	0.080	0.020	0.023
harris3D	0.020	0.080	0.040	0.023
harris3D	0.020	0.080	0.060	0.023
harris3D	0.020	0.080	0.080	0.023
harris3D	0.020	0.080	0.100	0.023
harris3D	0.020	0.100	0.020	0.023
harris3D	0.020	0.100	0.040	0.023
harris3D	0.020	0.100	0.060	0.023
harris3D	0.020	0.100	0.080	0.023
harris3D	0.020	0.100	0.100	0.023
harris3D	0.040	0.020	0.020	0.023
harris3D	0.040	0.020	0.040	0.023
harris3D	0.040	0.020	0.060	0.023
harris3D	0.040	0.020	0.080	0.023
harris3D	0.040	0.020	0.100	0.023
harris3D	0.040	0.040	0.020	0.023
harris3D	0.040	0.040	0.040	0.023
harris3D	0.040	0.040	0.060	0.023
harris3D	0.040	0.040	0.080	0.023
harris3D	0.040	0.040	0.100	0.023
harris3D	0.040	0.060	0.020	0.023
harris3D	0.040	0.060	0.040	0.023
harris3D	0.040	0.060	0.060	0.023
harris3D	0.040	0.060	0.080	0.023
harris3D	0.040	0.060	0.100	0.023
harris3D	0.040	0.080	0.020	0.023
harris3D	0.040	0.080	0.040	0.023
harris3D	0.040	0.080	0.060	0.023
harris3D	0.040	0.080	0.080	0.023
harris3D	0.040	0.080	0.100	0.023
harris3D	0.040	0.100	0.020	0.023
harris3D	0.040	0.100	0.040	0.023
harris3D	0.040	0.100	0.060	0.023
harris3D	0.040	0.100	0.080	0.023
harris3D	0.040	0.100	0.100	0.023
harris3D	0.060	0.020	0.020	0.023
harris3D	0.060	0.020	0.040	0.023
harris3D	0.060	0.020	0.060	0.023
harris3D	0.060	0.020	0.080	0.023
harris3D	0.060	0.020	0.100	0.023
harris3D	0.060	0.040	0.020	0.023
harris3D	0.060	0.040	0.040	0.023
harris3D	0.060	0.040	0.060	0.023
harris3D	0.060	0.040	0.080	0.023
harris3D	0.060	0.040	0.100	0.023
harris3D	0.060	0.060	0.020	0.023
harris3D	0.060	0.060	0.040	0.023
harris3D	0.060	0.060	0.060	0.023
harris3D	0.060	0.060	0.080	0.023
