KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
us	0.020	0.100	0.040	0.513
us	0.020	0.100	0.060	0.684
us	0.020	0.100	0.080	0.513
us	0.020	0.100	0.100	0.684
us	0.040	0.020	0.020	9.334
us	0.040	0.020	0.040	9.334
us	0.040	0.020	0.060	10.437
us	0.040	0.020	0.080	10.063
us	0.040	0.020	0.100	10.950
us	0.040	0.040	0.020	37.926
us	0.040	0.040	0.040	8.617
us	0.040	0.040	0.060	8.455
us	0.040	0.040	0.080	8.458
us	0.040	0.040	0.100	7.588
us	0.040	0.060	0.020	37.926
us	0.040	0.060	0.040	8.179
us	0.040	0.060	0.060	8.179
us	0.040	0.060	0.080	8.854
us	0.040	0.060	0.100	7.585
us	0.040	0.080	0.020	12.355
us	0.040	0.080	0.040	12.562
us	0.040	0.080	0.060	12.562
us	0.040	0.080	0.080	11.423
us	0.040	0.080	0.100	12.562
us	0.040	0.100	0.020	37.926
us	0.040	0.100	0.040	37.926
us	0.040	0.100	0.060	5.685
us	0.040	0.100	0.080	5.685
us	0.040	0.100	0.100	2.963
us	0.060	0.020	0.020	37.926
us	0.060	0.020	0.040	37.926
us	0.060	0.020	0.060	37.926
us	0.060	0.020	0.080	37.926
us	0.060	0.020	0.100	37.926
us	0.060	0.040	0.020	37.926
us	0.060	0.040	0.040	37.926
us	0.060	0.040	0.060	37.926
us	0.060	0.040	0.080	37.926
us	0.060	0.040	0.100	37.926
us	0.060	0.060	0.020	37.926
us	0.060	0.060	0.040	37.926
us	0.060	0.060	0.060	37.926
us	0.060	0.060	0.080	37.926
us	0.060	0.060	0.100	37.926
us	0.060	0.080	0.020	37.926
us	0.060	0.080	0.040	37.926
us	0.060	0.080	0.060	37.926
us	0.060	0.080	0.080	14.397
us	0.060	0.080	0.100	14.198
us	0.060	0.100	0.020	37.926
us	0.060	0.100	0.040	37.926
us	0.060	0.100	0.060	37.926
us	0.060	0.100	0.080	37.926
us	0.060	0.100	0.100	11.567
us	0.080	0.020	0.020	37.926
us	0.080	0.020	0.040	37.926
us	0.080	0.020	0.060	37.926
us	0.080	0.020	0.080	37.926
us	0.080	0.020	0.100	37.926
us	0.080	0.040	0.020	37.926
us	0.080	0.040	0.040	6.372
us	0.080	0.040	0.060	5.900
us	0.080	0.040	0.080	5.900
us	0.080	0.040	0.100	3.800
us	0.080	0.060	0.020	37.926
us	0.080	0.060	0.040	37.926
us	0.080	0.060	0.060	37.926
us	0.080	0.060	0.080	37.926
us	0.080	0.060	0.100	37.926
us	0.080	0.080	0.020	37.926
us	0.080	0.080	0.040	37.926
us	0.080	0.080	0.060	37.926
us	0.080	0.080	0.080	6.333
us	0.080	0.080	0.100	6.333
us	0.080	0.100	0.020	37.926
us	0.080	0.100	0.040	4.617
us	0.080	0.100	0.060	4.617
us	0.080	0.100	0.080	4.617
us	0.080	0.100	0.100	2.851
us	0.100	0.020	0.020	37.926
us	0.100	0.020	0.040	37.926
us	0.100	0.020	0.060	37.926
us	0.100	0.020	0.080	37.926
us	0.100	0.020	0.100	37.926
us	0.100	0.040	0.020	37.926
us	0.100	0.040	0.040	6.921
us	0.100	0.040	0.060	6.725
us	0.100	0.040	0.080	6.725
us	0.100	0.040	0.100	6.725
us	0.100	0.060	0.020	37.926
us	0.100	0.060	0.040	37.926
us	0.100	0.060	0.060	37.926
us	0.100	0.060	0.080	37.926
us	0.100	0.060	0.100	37.926
us	0.100	0.080	0.020	37.926
us	0.100	0.080	0.040	37.926
us	0.100	0.080	0.060	37.926
us	0.100	0.080	0.080	37.926
us	0.100	0.080	0.100	37.926
us	0.100	0.100	0.020	37.926
us	0.100	0.100	0.040	37.926
us	0.100	0.100	0.060	37.926
us	0.100	0.100	0.080	37.926
us	0.100	0.100	0.100	37.926
susan	0.020	0.020	0.020	0.095
susan	0.020	0.020	0.040	0.271
susan	0.020	0.020	0.060	0.271
susan	0.020	0.020	0.080	0.956
susan	0.020	0.020	0.100	0.686
susan	0.020	0.040	0.020	0.257
susan	0.020	0.040	0.040	0.257
susan	0.020	0.040	0.060	0.257
susan	0.020	0.040	0.080	0.662
susan	0.020	0.040	0.100	0.257
susan	0.020	0.060	0.020	0.487
susan	0.020	0.060	0.040	0.423
susan	0.020	0.060	0.060	1.152
susan	0.020	0.060	0.080	1.152
susan	0.020	0.060	0.100	1.152
