KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
us	0.020	0.100	0.040	0.059
us	0.020	0.100	0.060	0.059
us	0.020	0.100	0.080	0.308
us	0.020	0.100	0.100	0.308
us	0.040	0.020	0.020	0.074
us	0.040	0.020	0.040	0.074
us	0.040	0.020	0.060	0.074
us	0.040	0.020	0.080	0.074
us	0.040	0.020	0.100	0.074
us	0.040	0.040	0.020	0.376
us	0.040	0.040	0.040	5.264
us	0.040	0.040	0.060	5.724
us	0.040	0.040	0.080	5.802
us	0.040	0.040	0.100	3.999
us	0.040	0.060	0.020	5.604
us	0.040	0.060	0.040	5.630
us	0.040	0.060	0.060	0.338
us	0.040	0.060	0.080	5.630
us	0.040	0.060	0.100	5.630
us	0.040	0.080	0.020	5.677
us	0.040	0.080	0.040	5.632
us	0.040	0.080	0.060	5.632
us	0.040	0.080	0.080	5.604
us	0.040	0.080	0.100	5.604
us	0.040	0.100	0.020	7.841
us	0.040	0.100	0.040	5.700
us	0.040	0.100	0.060	3.593
us	0.040	0.100	0.080	3.793
us	0.040	0.100	0.100	0.409
us	0.060	0.020	0.020	9.350
us	0.060	0.020	0.040	0.179
us	0.060	0.020	0.060	0.179
us	0.060	0.020	0.080	3.444
us	0.060	0.020	0.100	3.444
us	0.060	0.040	0.020	9.350
us	0.060	0.040	0.040	9.350
us	0.060	0.040	0.060	9.350
us	0.060	0.040	0.080	0.332
us	0.060	0.040	0.100	0.332
us	0.060	0.060	0.020	9.350
us	0.060	0.060	0.040	9.350
us	0.060	0.060	0.060	9.350
us	0.060	0.060	0.080	9.350
us	0.060	0.060	0.100	9.350
us	0.060	0.080	0.020	9.350
us	0.060	0.080	0.040	9.350
us	0.060	0.080	0.060	9.350
us	0.060	0.080	0.080	4.201
us	0.060	0.080	0.100	3.562
us	0.060	0.100	0.020	9.350
us	0.060	0.100	0.040	5.943
us	0.060	0.100	0.060	5.943
us	0.060	0.100	0.080	5.943
us	0.060	0.100	0.100	0.342
us	0.080	0.020	0.020	8.551
us	0.080	0.020	0.040	0.422
us	0.080	0.020	0.060	0.422
us	0.080	0.020	0.080	0.422
us	0.080	0.020	0.100	0.422
us	0.080	0.040	0.020	8.551
us	0.080	0.040	0.040	8.551
us	0.080	0.040	0.060	8.551
us	0.080	0.040	0.080	8.551
us	0.080	0.040	0.100	0.390
us	0.080	0.060	0.020	8.551
us	0.080	0.060	0.040	8.551
us	0.080	0.060	0.060	5.661
us	0.080	0.060	0.080	5.661
us	0.080	0.060	0.100	5.661
us	0.080	0.080	0.020	8.551
us	0.080	0.080	0.040	8.551
us	0.080	0.080	0.060	8.551
us	0.080	0.080	0.080	8.551
us	0.080	0.080	0.100	5.591
us	0.080	0.100	0.020	8.551
us	0.080	0.100	0.040	8.551
us	0.080	0.100	0.060	8.551
us	0.080	0.100	0.080	5.234
us	0.080	0.100	0.100	5.855
us	0.100	0.020	0.020	9.903
us	0.100	0.020	0.040	9.903
us	0.100	0.020	0.060	9.903
us	0.100	0.020	0.080	9.903
us	0.100	0.020	0.100	9.903
us	0.100	0.040	0.020	9.903
us	0.100	0.040	0.040	9.903
us	0.100	0.040	0.060	9.903
us	0.100	0.040	0.080	9.903
us	0.100	0.040	0.100	9.903
us	0.100	0.060	0.020	9.903
us	0.100	0.060	0.040	9.903
us	0.100	0.060	0.060	9.903
us	0.100	0.060	0.080	9.903
