KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
us	0.020	0.100	0.040	0.223
us	0.020	0.100	0.060	0.438
us	0.020	0.100	0.080	0.438
us	0.020	0.100	0.100	0.438
us	0.040	0.020	0.020	42.550
us	0.040	0.020	0.040	42.550
us	0.040	0.020	0.060	42.550
us	0.040	0.020	0.080	42.550
us	0.040	0.020	0.100	15.211
us	0.040	0.040	0.020	42.550
us	0.040	0.040	0.040	42.550
us	0.040	0.040	0.060	42.550
us	0.040	0.040	0.080	42.550
us	0.040	0.040	0.100	42.550
us	0.040	0.060	0.020	42.550
us	0.040	0.060	0.040	42.550
us	0.040	0.060	0.060	42.550
us	0.040	0.060	0.080	42.550
us	0.040	0.060	0.100	42.550
us	0.040	0.080	0.020	0.145
us	0.040	0.080	0.040	0.145
us	0.040	0.080	0.060	0.145
us	0.040	0.080	0.080	2.925
us	0.040	0.080	0.100	2.925
us	0.040	0.100	0.020	0.216
us	0.040	0.100	0.040	0.216
us	0.040	0.100	0.060	0.216
us	0.040	0.100	0.080	0.216
us	0.040	0.100	0.100	0.216
us	0.060	0.020	0.020	42.550
us	0.060	0.020	0.040	42.550
us	0.060	0.020	0.060	42.550
us	0.060	0.020	0.080	12.923
us	0.060	0.020	0.100	12.923
us	0.060	0.040	0.020	42.550
us	0.060	0.040	0.040	42.550
us	0.060	0.040	0.060	42.550
us	0.060	0.040	0.080	42.550
us	0.060	0.040	0.100	42.550
us	0.060	0.060	0.020	42.550
us	0.060	0.060	0.040	42.550
us	0.060	0.060	0.060	42.550
us	0.060	0.060	0.080	42.550
us	0.060	0.060	0.100	42.550
us	0.060	0.080	0.020	0.156
us	0.060	0.080	0.040	0.156
us	0.060	0.080	0.060	0.156
us	0.060	0.080	0.080	3.043
us	0.060	0.080	0.100	3.043
us	0.060	0.100	0.020	0.156
us	0.060	0.100	0.040	0.156
us	0.060	0.100	0.060	0.156
us	0.060	0.100	0.080	0.156
us	0.060	0.100	0.100	0.156
us	0.080	0.020	0.020	42.550
us	0.080	0.020	0.040	42.550
us	0.080	0.020	0.060	42.550
us	0.080	0.020	0.080	42.550
us	0.080	0.020	0.100	42.550
us	0.080	0.040	0.020	42.550
us	0.080	0.040	0.040	42.550
us	0.080	0.040	0.060	42.550
us	0.080	0.040	0.080	42.550
us	0.080	0.040	0.100	42.550
us	0.080	0.060	0.020	42.550
us	0.080	0.060	0.040	42.550
us	0.080	0.060	0.060	42.550
us	0.080	0.060	0.080	42.550
us	0.080	0.060	0.100	42.550
us	0.080	0.080	0.020	0.714
us	0.080	0.080	0.040	0.714
us	0.080	0.080	0.060	0.714
us	0.080	0.080	0.080	0.714
us	0.080	0.080	0.100	0.714
us	0.080	0.100	0.020	42.550
us	0.080	0.100	0.040	42.550
us	0.080	0.100	0.060	42.550
us	0.080	0.100	0.080	16.911
us	0.080	0.100	0.100	16.911
us	0.100	0.020	0.020	42.550
us	0.100	0.020	0.040	42.550
